achieve	0.016449781508593553	35
feed	0.01808737451759934	34
place	0.034608946634911764	34
stare	0.008885091974756287	32
announce	0.03945342474894131	39
select	0.11171230408206667	44
state	0.0149890562405387	37
century	0.034965848958486645	33
attempt	0.02927853185767415	41
fear	0.02268562489701953	39
encourage	0.03699552688474361	40
existence	0.008827345390445718	32
mention	0.03780443461663774	39
Jew	0.01218002676187846	32
discuss	0.015996107570860008	40
training	0.015349846438302839	34
training	0.015349846438302839	34
feed	0.01808737451759934	34
achieve	0.016449781508593553	35
complete	0.09282806006820132	44
